Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0026562	102439	47109	59862	18039	10108	12172	51595	73623	85297	9199	14137	14919	41461.64	70172	12752	0.182	-2.46	-11.755	6.6622930036918e-32	3.49064963434605e-29	0.0593	0.0129	0.0315	0.0315	TRUE	0.1803
FBgn0027279	8234	2595	2639	3505	1242	1379	4147	4056	3760	1787	1737	1690	2862.94	3988	1738	0.436	-1.198	-11.407	3.86223959664514e-30	1.81057726775359e-27	0.0015	0.0139	0.0075	0.0075	TRUE	0.0301
FBgn0040091	2714	899	1211	1002	388	416	1367	1405	1726	511	543	510	1010.16	1499	521	0.348	-1.524	-10.963	5.76319499074895e-28	2.44441798964766e-25	0.0085	0.016	0.0126	0.0126	TRUE	0.2071
FBgn0037754	871	233	223	170	54	61	439	364	318	87	76	75	226.26	374	79	0.212	-2.236	-10.91	1.03226588210115e-27	4.1792691872159e-25	0.0164	0.0268	0.0226	0.0226	TRUE	0.1466
FBgn0000406	787	261	385	167	60	97	396	408	549	85	84	119	273.47	451	96	0.212	-2.238	-10.5	8.62763985956895e-26	3.07385552916723e-23	0.0295	0.0244	0.0262	0.0262	TRUE	0.402
FBgn0259715	2277	879	1073	492	294	283	1147	1374	1529	251	411	347	843.07	1350	336	0.247	-2.015	-10.441	1.61204854020013e-25	5.52250628752406e-23	0.0361	0.0166	0.0249	0.0249	TRUE	0.3731
FBgn0030041	288	93	117	41	10	15	145	145	167	21	14	18	85.06	152	18	0.121	-3.046	-10.262	1.04985805603173e-24	3.46336507595355e-22	0	0.0499	0.0342	0.0342	TRUE	0.2141
FBgn0034010	1604	488	610	634	205	226	808	763	869	323	287	277	554.46	813	296	0.366	-1.452	-10.25	1.18125184442408e-24	3.75764649224474e-22	0.0035	0.0185	0.0121	0.0121	TRUE	0.0875
FBgn0039419	4979	1572	1589	2245	743	850	2508	2457	2264	1145	1039	1042	1742.41	2410	1075	0.447	-1.162	-10.178	2.48021251251243e-24	7.61767339618905e-22	0.0025	0.0147	0.0087	0.0087	TRUE	0.0406
FBgn0040099	3002	785	942	952	221	268	1512	1227	1342	485	309	328	867.35	1360	374	0.277	-1.851	-9.925	3.2445642386687e-23	9.63311122460736e-21	0.0364	0.0165	0.0233	0.0233	TRUE	0.8287
FBgn0036985	6756	1661	1732	1965	769	825	3403	2596	2468	1002	1076	1011	1925.88	2822	1030	0.364	-1.458	-9.822	9.0439360881234e-23	2.5173230855286e-20	0.0159	0.0145	0.0152	0.0152	TRUE	0.3999
FBgn0024288	202	73	73	7	6	4	102	114	104	4	8	5	56.12	107	6	0.047	-4.398	-9.784	1.32299425750836e-22	3.5708817732203e-20	0	0.0689	0.0506	0.0506	TRUE	0.6253
FBgn0033913	13209	4465	4508	5371	2328	2614	6653	6978	6423	2739	3256	3204	4875.52	6685	3066	0.458	-1.126	-9.74	2.02569762041209e-22	5.15511105857442e-20	0.0048	0.0135	0.0094	0.0094	TRUE	0.1085
FBgn0052407	574	170	189	152	38	49	289	266	269	78	53	60	169.13	275	64	0.237	-2.078	-9.674	3.88064574834512e-22	9.34186802175947e-20	0.0076	0.0315	0.0237	0.0237	TRUE	0.4359
